UUID,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Absolute low,Allow decimals,Units,Display precision
7e455d5e-8852-4bfd-8f7d-5f9d43b33e01,Feeding or IV fluid quantity,Fluid quantity,"Volume of enteral feeding or intravenous fluid administered during this chart entry, measured in millilitres.",Quantité d’alimentation ou de liquide IV,Quantité de liquide,"Volume d’alimentation entérale ou de liquide intraveineux administré lors de cette saisie, mesuré en millilitres.",Question,Numeric,0,true,mL,1
39f4316a-0011-4372-b895-956b8aa14202,Gastric residual volume,Gastric residual,"Volume remaining in the stomach when gastric residual is assessed, measured in millilitres.",Volume résiduel gastrique,Résidu gastrique,"Volume restant dans l’estomac lors de l’évaluation du résidu gastrique, mesuré en millilitres.",Question,Numeric,0,true,mL,1
